RSC,PI,KR,Mg,Na,SAR,SSP,EC,IWQI,USABLE
0,0.5,0.4,33.8,44.6,6.6,28.8,858,51.89345238,1
0,0.3,0.3,33.2,51,7.5,22.5,394,44.19107143,0
0,0.3,0.2,34.5,51.6,5.7,17.9,822,48.60357143,0
0,0.6,0.5,22.2,63.1,7.1,31.6,566,51.80644841,1
0,0.6,0.7,37.3,63.8,9.5,40.9,722,64.05853175,1
0,0.4,0.3,35.8,59.4,5.7,24.7,733,52.43392857,1
0,0.5,0.7,23.6,53.7,15.4,41.6,815,63.28164683,1
0,0.5,0.4,44.6,61.2,4.9,26.9,955,59.74206349,1
0,0.5,0.5,44.3,54.9,7.6,31.6,727,57.78164683,1
0,0.7,0.7,39.4,47.6,12.9,29.1,536,55.85,1
0,0.8,0,54.5,53.7,27.4,26.7,550,65.41855159,1
0,0.6,0.7,46.8,61.2,9.6,41.6,795,67.08214286,1
0,0.5,0.5,39.6,54.9,6.4,32.5,659,54.86498016,1
0,0.5,0.4,23.2,58.1,4.8,26.2,617,47.54553571,0
0,0.7,0.2,23.3,60.8,19,35.6,765,61.46111111,1
0,0.7,0.2,44.2,51.6,16.8,33.5,688,60.475,1
0,0.6,0.5,29.2,54.8,7.8,40.4,679,55.53214286,1
0,0.7,0.1,44.2,35,14.6,28.6,799,53.55138889,1
0,0.5,0.5,32.6,33.9,7.4,35.3,709,48.78025794,0
0,0.5,0.5,23.5,27.1,8.9,27.6,612,41.88025794,0
0,0.7,0.1,24.1,45.1,12.8,35.6,809,52.34930556,1
0,0.6,0.2,34.4,24.1,13.4,39.9,799,50.50228175,1
1.09,39.9,0.3,60.2,27.1,1,25.8,560,60.52152778,1
0.09,42.1,0.2,53.6,15.1,0.5,13.9,462,39.72549603,0
0.39,37,0.3,66.8,25.4,1,24.1,585,54.1140873,1
1.04,39.3,0.6,71.2,39.6,1.6,38.1,520,71.89563492,1
0.54,34.2,0.3,46.6,21.5,0.9,20.2,754,50.61755952,1
0.23,37.3,0.2,58.5,14.3,0.5,13.1,615,43.59335317,0
-0.52,32.5,0.3,57.3,23.5,1,22.3,662,42.07509921,0
-0.63,31.7,0.3,49.7,22.5,0.9,21.3,738,39.56696429,0
0.24,52.2,0.1,52.8,14.4,0.4,12.8,320,39.06587302,0
1.21,37.8,0.5,60.9,32,1.4,31.2,614,67.24722222,1
0.37,45.4,0.1,55.3,14.2,0.4,12.3,426,41.35575397,0
1.57,39,0.5,62.2,35.6,1.5,34.4,591,72.99761905,1
0.02,41,0.2,77.2,16.1,0.5,14.5,472,45.35823413,0
1.04,40.7,0.3,62.2,22.3,0.8,20.4,567,57.7921627,1
-0.57,31.5,0.1,63.1,13.1,0.5,12.1,790,37.16597222,0
-0.27,32.8,0.3,50,21.2,0.9,20,710,42.24047619,0
-3.61,65.7,1.4,45.2,60,4,66,1300,58.29325397,1
-0.66,89.7,3.7,40.1,79.2,8.4,83.3,1267,122.8011905,1
-1.2,65.6,0.7,49,44.6,1.8,48.6,1150,64.30178571,1
-3.25,65.3,1.1,54.1,55.3,3.6,61.8,1410,60.58363095,1
-7.42,43.6,0.7,44,40.3,2.6,47.7,1564,2.810019841,0
-1.63,81.1,2.3,69.7,70.3,6.2,78.1,1220,100.9064484,1
-5.48,50.9,0.7,58.3,41.7,2.6,50.2,1445,26.16775794,0
-5.61,45.4,0.6,49.9,38.8,2.1,46,1595,21.14880952,0
